,ols,ridge,lasso,abs_ols
G2,3.5916286579053733,3.2702262463401617,3.5835598449261075,3.5916286579053733
G1,0.6799188747959487,0.9092802350499144,0.4620612208593015,0.6799188747959487
absences,0.4674620307604808,0.44063996478889583,0.23566817376081878,0.4674620307604808
famrel,0.27844627633250085,0.2698490370793991,0.1904005153326836,0.27844627633250085
schoolsup_yes,0.2719905058175052,0.2796028422281996,0.07272868117791279,0.2719905058175052
reason_home,-0.27031958752614765,-0.24667745887690437,-0.07238830823332873,0.27031958752614765
activities_yes,-0.25874462111251284,-0.24189798314882274,-0.08661238929646736,0.25874462111251284
goout,0.21220717135281952,0.1771174157365248,0.007353557606763412,0.21220717135281952
failures,-0.20988416092906204,-0.21838959456551102,-0.18034900705054038,0.20988416092906204
sex_M,0.18666409206145268,0.17857402941301947,0.0,0.18666409206145268
romantic_yes,-0.18555314459781444,-0.20566182286895973,-0.11067818262964411,0.18555314459781444
Fedu,-0.18022694889731883,-0.17315163133964545,-0.0,0.18022694889731883
Dalc,-0.16729710793099678,-0.14793341960127845,0.0,0.16729710793099678
age,-0.14701881433152472,-0.15961690817521076,-0.06618074494801526,0.14701881433152472
Fjob_services,-0.1297183533634636,-0.10207342662372182,-0.11214756459538054,0.1297183533634636
Mjob_health,-0.12949512961378912,-0.10859472349692344,-0.0,0.12949512961378912
Mjob_other,-0.11299227082358464,-0.0850689303445593,-0.0,0.11299227082358464
Fjob_health,0.105510856493708,0.10422703923771674,0.0,0.105510856493708
Fjob_other,0.10238997975114711,0.12666766412943076,0.0,0.10238997975114711
famsup_yes,0.09958231740458805,0.08741149063399856,0.0,0.09958231740458805
reason_reputation,-0.09756268361115458,-0.08198822982748423,-0.0,0.09756268361115458
nursery_yes,-0.09463196319555382,-0.0900264941501048,-0.0,0.09463196319555382
Medu,0.09310677203525619,0.09659414222431531,0.0,0.09310677203525619
reason_other,0.09200425886636679,0.10935459447889051,0.0,0.09200425886636679
higher_yes,0.08700109733199424,0.07460461413904017,0.0,0.08700109733199424
Walc,0.06977246415115518,0.07467270062447225,0.0,0.06977246415115518
health,0.062011080638847436,0.05079649268718892,0.0,0.062011080638847436
internet_yes,-0.06188108650754967,-0.044097118141369115,-0.0,0.06188108650754967
traveltime,0.06092977980664419,0.0373576999517429,0.0,0.06092977980664419
guardian_mother,0.043957173947921195,0.046428117133292465,0.028940363918630422,0.043957173947921195
Pstatus_T,-0.0423540950602535,-0.05912015125229578,-0.0,0.0423540950602535
guardian_other,-0.04173272735979539,-0.04232630586206896,-0.0,0.04173272735979539
Mjob_teacher,0.03432614715894925,0.029905915769706054,0.0,0.03432614715894925
address_U,0.03412958535586275,0.040203073487079403,0.0,0.03412958535586275
paid_yes,0.0334971763023424,0.06043501168634925,0.0,0.0334971763023424
school_MS,0.029070004930841352,0.031707527682956045,-0.0,0.029070004930841352
Mjob_services,-0.022814432160205227,-0.01039997117623122,0.0,0.022814432160205227
freetime,-0.020604104761071093,-0.019334213714954435,0.0,0.020604104761071093
Fjob_teacher,-0.017009717727796556,-0.021476617436760215,-0.0,0.017009717727796556
studytime,-0.006464686989830396,-0.01003752661846567,-0.0,0.006464686989830396
famsize_LE3,-0.0039588930021821804,0.0011207386437148098,0.0,0.0039588930021821804
