,0
G2,3.5916286579053733
G1,0.6799188747959487
absences,0.4674620307604808
famrel,0.27844627633250085
schoolsup_yes,0.2719905058175052
goout,0.21220717135281952
sex_M,0.18666409206145268
Fjob_health,0.105510856493708
Fjob_other,0.10238997975114711
famsup_yes,0.09958231740458805
Medu,0.09310677203525619
reason_other,0.09200425886636679
higher_yes,0.08700109733199424
Walc,0.06977246415115518
health,0.062011080638847436
traveltime,0.06092977980664419
guardian_mother,0.043957173947921195
Mjob_teacher,0.03432614715894925
address_U,0.03412958535586275
paid_yes,0.0334971763023424
school_MS,0.029070004930841352
famsize_LE3,-0.0039588930021821804
studytime,-0.006464686989830396
Fjob_teacher,-0.017009717727796556
freetime,-0.020604104761071093
Mjob_services,-0.022814432160205227
guardian_other,-0.04173272735979539
Pstatus_T,-0.0423540950602535
internet_yes,-0.06188108650754967
nursery_yes,-0.09463196319555382
reason_reputation,-0.09756268361115458
Mjob_other,-0.11299227082358464
Mjob_health,-0.12949512961378912
Fjob_services,-0.1297183533634636
age,-0.14701881433152472
Dalc,-0.16729710793099678
Fedu,-0.18022694889731883
romantic_yes,-0.18555314459781444
failures,-0.20988416092906204
activities_yes,-0.25874462111251284
reason_home,-0.27031958752614765
