feature,importance
G2,0.5383636699809767
G1,0.20169920779879796
absences,0.10631672033338267
failures,0.024793121718408067
age,0.012228434679868568
reason_home,0.010066719337829875
health,0.009142601816811589
schoolsup_yes,0.007284642393234393
famrel,0.006867674002288167
romantic_yes,0.006493401662625523
goout,0.006346800091649427
Walc,0.0063219223595275265
Medu,0.00598808531434427
studytime,0.005573932817617989
Fedu,0.0050566616003727615
freetime,0.0040338704212615996
traveltime,0.003577859058939798
guardian_mother,0.0031094206243603996
paid_yes,0.002722374279882131
activities_yes,0.002536387345130936
